time,P1 [mmHg]3
0,1.247640283
0.1,1.246277395
0.2,1.244608813
0.3,1.243628043
0.4,1.238813357
0.5,1.237284885
0.6,1.23627864
0.7,1.239424745
0.8,1.243156765
0.9,1.248391781
1,1.248175248
1.1,1.247067106
1.2,1.244557864
1.3,1.24383184
1.4,1.240036134
1.5,1.236737182
1.6,1.234724694
1.7,1.235259659
1.8,1.238214705
1.9,1.239908762
2,1.240316354
2.1,1.236507911
2.2,1.231209208
2.3,1.228572594
2.4,1.226177988
2.5,1.224687728
2.6,1.225541124
2.7,1.226203462
2.8,1.228445221
2.9,1.230444972
3,1.234291627
3.1,1.232941477
3.2,1.229604313
3.3,1.22593598
3.4,1.2248151
3.5,1.223566848
3.6,1.222089325
3.7,1.220267896
3.8,1.219427236
3.9,1.220599065
4,1.22169447
4.1,1.223974441
4.2,1.224840575
4.3,1.223401264
4.4,1.220675489
4.5,1.218484679
4.6,1.217987925
4.7,1.216281131
4.8,1.214434228
4.9,1.213300611
5,1.213045866
5.1,1.213759153
5.2,1.215580582
5.3,1.21647219
5.4,1.216370292
5.5,1.214179482
5.6,1.211071589
5.7,1.210129032
5.8,1.212969442
5.9,1.209288372
6,1.2084095
6.1,1.206371538
6.2,1.204919489
6.3,1.206002157
6.4,1.207288621
6.5,1.21060031
6.6,1.209288372
6.7,1.20911005
6.8,1.207721688
6.9,1.208740669
7,1.207148511
7.1,1.20393872
7.2,1.200830827
7.3,1.199225931
7.4,1.198296111
7.5,1.199671735
7.6,1.200741666
7.7,1.20458832
7.8,1.205110548
7.9,1.205543615
8,1.205887522
8.1,1.206511648
8.2,1.204575583
8.3,1.201595063
8.4,1.196563842
8.5,1.192462442
8.6,1.189940463
8.7,1.190641013
8.8,1.194449456
8.9,1.199034872
9,1.202130028
9.1,1.203263645
9.2,1.203047111
9.3,1.200945462
9.4,1.198652754
9.5,1.196602054
9.6,1.190118785
9.7,1.187724179
9.8,1.185864538
9.9,1.186858045
10,1.190691962
10.1,1.198321585
10.2,1.199786371
10.3,1.198894762
10.4,1.197391765
10.5,1.194538617
10.6,1.191532622
10.7,1.18464176
10.8,1.181763138
10.9,1.180947953
11,1.182947704
11.1,1.187291112
11.2,1.19270445
11.3,1.196538368
11.4,1.196793113
11.5,1.195863293
11.6,1.193277627
11.7,1.19014426
11.8,1.187061841
11.9,1.184832819
12,1.183202449
12.1,1.182743908
12.2,1.184603549
12.3,1.185711691
12.4,1.188157246
12.5,1.192309595
12.6,1.194500405
12.7,1.19354511
12.8,1.191112292
12.9,1.188666737
13,1.186335817
13.1,1.186666986
13.2,1.185890013
13.3,1.183495406
13.4,1.182412739
13.5,1.182922229
13.6,1.183240661
13.7,1.186132021
13.8,1.188845059
13.9,1.1893036
14,1.188615788
14.1,1.189545608
14.2,1.188679474
14.3,1.189558345
14.4,1.189532871
14.5,1.185915487
14.6,1.183189712
14.7,1.180120031
14.8,1.17919021
14.9,1.180769631
15,1.182349052
15.1,1.186717935
15.2,1.188794109
15.3,1.190348056
15.4,1.19163452
15.5,1.1907047
15.6,1.189252651
15.7,1.187240163
15.8,1.183100551
15.9,1.179508642
16,1.17713951
16.1,1.176693706
16.2,1.181266385
16.3,1.183762889
16.4,1.189099804
16.5,1.191698206
16.6,1.191367037
16.7,1.1893036
16.8,1.188297356
16.9,1.184603549
17,1.182119782
17.1,1.181126275
17.2,1.179406744
17.3,1.177903746
17.4,1.177152248
17.5,1.178897253
17.6,1.178782618
17.7,1.178273127
17.8,1.178667982
17.9,1.17854061
18,1.17933032
18.1,1.179164736
18.2,1.183482669
18.3,1.185584318
18.4,1.187762391
18.5,1.188144509
18.6,1.189252651
18.7,1.189010643
18.8,1.187482171
18.9,1.185660742
19,1.183406246
19.1,1.181228173
19.2,1.179967184
19.3,1.177789111
19.4,1.176553596
19.5,1.176273376
19.6,1.175700199
19.7,1.176973926
19.8,1.176680969
19.9,1.174935963
20,1.174502896
20.1,1.171535113
20.2,1.171700697
20.3,1.173496652
20.4,1.177317832
20.5,1.178145754
20.6,1.18287128
20.7,1.185163988
20.8,1.187966187
20.9,1.186654249
21,1.186475927
21.1,1.186119283
21.2,1.184043109
21.3,1.18124091
21.4,1.1790501
21.5,1.177254146
21.6,1.177445205
21.7,1.177228671
21.8,1.177164985
21.9,1.176095054
22,1.174986912
22.1,1.173394754
22.2,1.173382017
22.3,1.171637011
22.4,1.171420477
22.5,1.170732665
22.6,1.170592555
22.7,1.172770628
22.8,1.174655743
22.9,1.178960939
23,1.183737415
