time,P1 [mmHg]3
0,1.247869553
0.1,1.247130792
0.2,1.247449224
0.3,1.24793324
0.4,1.247449224
0.5,1.247398274
0.6,1.247079843
0.7,1.246315607
0.8,1.246009912
0.9,1.246060861
1,1.245666006
1.1,1.244990931
1.2,1.242774647
1.3,1.241118802
1.4,1.237730689
1.5,1.236138531
1.6,1.234559109
1.7,1.236444225
1.8,1.237603316
1.9,1.238354815
2,1.236775394
2.1,1.235527142
2.2,1.232916002
2.3,1.230394023
2.4,1.229145771
2.5,1.228801865
2.6,1.230152015
2.7,1.232610308
2.8,1.231769648
2.9,1.23054687
3,1.227922993
3.1,1.225541124
3.2,1.223388526
3.3,1.222089325
3.4,1.223859805
3.5,1.22565576
3.6,1.226700216
3.7,1.227388028
3.8,1.22784657
3.9,1.227757409
4,1.225706709
4.1,1.225643023
4.2,1.224114551
4.3,1.225948717
4.4,1.228139527
4.5,1.227260655
4.6,1.227604562
4.7,1.226114301
4.8,1.223681483
4.9,1.222879036
5,1.220471692
5.1,1.217644019
5.2,1.220000413
5.3,1.221732682
5.4,1.221235928
5.5,1.220076837
5.6,1.217261901
5.7,1.215389523
5.8,1.213338823
5.9,1.210001659
6,1.207696214
6.1,1.208422238
6.2,1.211058852
6.3,1.211950461
6.4,1.212230681
6.5,1.211415495
6.6,1.209937973
6.7,1.208562348
6.8,1.207568841
6.9,1.208154755
7,1.2098106
7.1,1.213937474
7.2,1.217656756
7.3,1.216675987
7.4,1.215134777
7.5,1.213033128
7.6,1.211237174
7.7,1.209135525
7.8,1.209619541
7.9,1.21060031
8,1.210345565
8.1,1.211046115
8.2,1.210039871
8.3,1.205670988
8.4,1.202346561
8.5,1.200754403
8.6,1.200741666
8.7,1.201696961
8.8,1.203862296
8.9,1.207543366
9,1.209441219
9.1,1.211835825
9.2,1.210498412
9.3,1.210562099
9.4,1.209135525
9.5,1.209199211
9.6,1.208791618
9.7,1.209797863
9.8,1.211148013
9.9,1.210804107
10,1.206473436
10.1,1.203964194
10.2,1.202435722
10.3,1.200550607
10.4,1.200461446
10.5,1.20393872
10.6,1.208447712
10.7,1.209262897
10.8,1.209619541
10.9,1.211606554
11,1.211644766
11.1,1.210663997
11.2,1.208294865
11.3,1.208778881
11.4,1.209746914
11.5,1.210944217
11.6,1.212727434
11.7,1.212179731
11.8,1.209683227
11.9,1.20691924
12,1.203085323
12.1,1.200295861
12.2,1.198550856
12.3,1.200066591
12.4,1.203569339
12.5,1.206664495
12.6,1.209619541
12.7,1.211810351
12.8,1.210969691
12.9,1.20995071
13,1.208192967
13.1,1.205607302
13.2,1.206193216
13.3,1.205505404
13.4,1.205110548
13.5,1.205352556
13.6,1.206473436
13.7,1.206065843
13.8,1.207237672
13.9,1.208753407
14,1.210995166
14.1,1.210320091
14.2,1.211988672
14.3,1.213160501
14.4,1.215911751
14.5,1.216433979
14.6,1.215058354
14.7,1.211874037
14.8,1.207148511
14.9,1.202690468
15,1.202091816
15.1,1.203556602
15.2,1.206906503
15.3,1.209645015
15.4,1.214230431
15.5,1.215733429
15.6,1.215223938
15.7,1.214497914
15.8,1.213033128
15.9,1.209504905
16,1.206193216
16.1,1.205021387
16.2,1.206371538
16.3,1.207148511
16.4,1.208524136
16.5,1.209301109
16.6,1.209836074
16.7,1.210714946
16.8,1.211122538
16.9,1.209861549
17,1.209695964
17.1,1.212268892
17.2,1.214077584
17.3,1.21433233
17.4,1.211823088
17.5,1.206931978
17.6,1.205225184
17.7,1.203492915
17.8,1.204346312
17.9,1.206078581
18,1.210154506
18.1,1.214727185
18.2,1.215440472
18.3,1.216370292
18.4,1.215185726
18.5,1.213402509
18.6,1.210434726
18.7,1.205390768
18.8,1.202614044
18.9,1.203531127
19,1.205327082
19.1,1.207989171
19.2,1.210918742
19.3,1.213555356
19.4,1.213427984
19.5,1.210205455
19.6,1.209046364
19.7,1.208485924
19.8,1.208192967
19.9,1.209135525
20,1.209874286
20.1,1.209199211
20.2,1.207352307
20.3,1.205046862
20.4,1.203174484
20.5,1.203976932
20.6,1.203671237
20.7,1.204155253
20.8,1.208027382
20.9,1.212676485
21,1.215211201
21.1,1.215720692
21.2,1.215351311
21.3,1.213389772
21.4,1.212676485
21.5,1.209836074
21.6,1.207352307
21.7,1.207097562
21.8,1.20733957
21.9,1.207224935
22,1.206995664
22.1,1.208626034
22.2,1.210472938
22.3,1.209479431
22.4,1.209428482
22.5,1.211542868
22.6,1.213084077
22.7,1.212752908
22.8,1.214396016
22.9,1.21647219
23,1.21675241
23.1,1.216204708
23.2,1.214905507
23.3,1.209848812
23.4,1.207377782
23.5,1.205097811
23.6,1.20705935
23.7,1.212230681
23.8,1.216166496
23.9,1.219516397
24,1.2227644
24.1,1.223171993
24.2,1.221057607
24.3,1.218548365
24.4,1.21731285
