time,P1 [mmHg]3
0,1.243309612
0.1,1.242800121
0.2,1.241590081
0.3,1.238978941
0.4,1.236342327
0.5,1.234049619
0.6,1.232330088
0.7,1.230801616
0.8,1.233922246
0.9,1.236265903
1,1.238010909
1.1,1.241348073
1.2,1.243182239
1.3,1.243182239
1.4,1.240991429
1.5,1.240367303
1.6,1.239462957
1.7,1.238545874
1.8,1.237272147
1.9,1.233196222
2,1.23124742
2.1,1.232304613
2.2,1.232724943
2.3,1.234890278
2.4,1.235119549
2.5,1.239042627
2.6,1.24271096
2.7,1.242647274
2.8,1.241399022
2.9,1.242418003
3,1.241755665
3.1,1.240061609
3.2,1.236520649
3.3,1.234393525
3.4,1.231540377
3.5,1.23068698
3.6,1.229935482
3.7,1.228687229
3.8,1.230699718
3.9,1.23478838
4,1.23655886
4.1,1.236202217
4.2,1.234291627
4.3,1.234482686
4.4,1.233068849
4.5,1.230164752
4.6,1.228101315
4.7,1.225834082
4.8,1.225337328
4.9,1.226241674
5,1.229005661
5.1,1.231132785
5.2,1.234559109
5.3,1.235832836
5.4,1.234762906
5.5,1.234661008
5.6,1.233629289
5.7,1.23138753
5.8,1.22840701
5.9,1.226101564
6,1.223872542
6.1,1.223019146
6.2,1.225146269
6.3,1.227273393
6.4,1.230343074
6.5,1.233731187
6.6,1.233782136
6.7,1.233463704
6.8,1.233208959
6.9,1.232826841
7,1.229094822
7.1,1.225948717
7.2,1.225031634
7.3,1.22444572
7.4,1.224585829
7.5,1.225974192
7.6,1.229171246
7.7,1.233285383
7.8,1.233769399
7.9,1.235361557
8,1.234393525
8.1,1.232266401
8.2,1.228623543
8.3,1.224967947
8.4,1.223668746
8.5,1.226152513
8.6,1.229769897
8.7,1.234686482
8.8,1.233629289
8.9,1.232928739
9,1.23068698
9.1,1.226954961
9.2,1.223515899
9.3,1.225948717
9.4,1.228381535
9.5,1.231298369
9.6,1.232521147
9.7,1.232215452
9.8,1.22989727
9.9,1.226623792
10,1.222777138
10.1,1.223401264
10.2,1.227375291
10.3,1.231922495
10.4,1.232546621
10.5,1.233450967
10.6,1.230623294
10.7,1.227273393
10.8,1.2241655
10.9,1.22551565
11,1.228215951
11.1,1.233145273
11.2,1.233476442
11.3,1.233272645
11.4,1.229604313
11.5,1.224483931
11.6,1.221643521
11.7,1.223095569
11.8,1.22607609
11.9,1.23026665
12,1.231056361
12.1,1.230725192
12.2,1.227961205
12.3,1.22509532
12.4,1.223019146
12.5,1.223082832
12.6,1.227897519
12.7,1.233412755
12.8,1.231591326
12.9,1.230954463
13,1.227910256
13.1,1.223299365
13.2,1.221681733
13.3,1.224356559
13.4,1.22840701
13.5,1.232075342
13.6,1.231591326
13.7,1.229591575
13.8,1.225961454
13.9,1.222000164
14,1.222191223
14.1,1.226203462
14.2,1.230508659
14.3,1.233476442
14.4,1.232406511
14.5,1.229731685
14.6,1.226547369
14.7,1.221911003
14.8,1.223235679
14.9,1.227044122
15,1.233514654
15.1,1.233820348
15.2,1.23245746
15.3,1.231502165
15.4,1.228967449
15.5,1.223401264
15.6,1.222687977
15.7,1.225693972
15.8,1.231158259
15.9,1.233208959
16,1.233170747
16.1,1.232521147
16.2,1.228865551
16.3,1.221783631
