time,Druck1,Druckdifferenz H,Volumenstrom Q
0,0,0,1.438136705
0.1,0.00651504,0.003189074,1.452921785
0.2,-0.010023139,-0.004906267,1.447952779
0.3,-0.040092555,-0.005553674,1.456336072
0.4,0.023053219,-0.000484389,1.452098698
0.5,-0.00651504,-0.001398169,1.452281607
0.6,-0.000501157,0.004871558,1.457128674
0.7,-0.029067102,0.023380828,1.444355584
0.8,0.033577514,0.02462299,1.448440534
0.9,0.021048591,0.020025217,1.447434539
1,-0.01954512,0.018831414,1.457829822
1.1,0.025559004,0.03604859,1.462493981
1.2,0.047108752,0.019221804,1.469170131
1.3,-0.032575201,0.037781779,1.456976251
1.4,-0.044602967,0.011170929,1.455208138
1.5,0.012027766,0.044775742,1.45444602
1.6,-0.019043963,0.000144304,1.457128674
1.7,-0.015535865,0.009792648,1.44127663
1.8,-0.010023139,0.019654714,1.450726887
1.9,-0.008519668,0.009389381,1.477949725
2,-0.034579828,0.009169421,1.446702906
2.1,-0.039090241,0.000565511,1.445392064
2.2,-0.047108752,0.000989838,1.463073191
2.3,-0.050115693,-0.005087227,1.436917317
2.4,-0.014533551,0.02000533,1.470877274
2.5,-0.039090241,0.011055097,1.483010185
2.6,-0.01804165,0.016497231,1.45139755
2.7,-0.056129576,-0.001123211,1.455177653
2.8,-0.01303008,0.012298432,1.449141682
2.9,-0.045104124,0.002738622,1.459780843
3,-0.051619164,-0.005823167,1.458439516
3.1,-0.066653872,-0.016508534,1.450483009
3.2,-0.058134204,0.004291625,1.456336072
3.3,-0.059637675,-0.018446862,1.454324082
3.4,-0.100231387,-0.001987459,1.425759917
3.5,-0.070161971,-0.002363427,1.473864775
3.6,-0.030570573,0.003456621,1.451214642
3.7,-0.057633047,0.004792782,1.426034279
3.8,-0.058635361,-0.002349778,1.428320632
3.9,-0.039090241,0.018218717,1.444721401
4,-0.057633047,0.012723932,1.460664899
4.1,-0.042598339,0.011640496,1.431643464
4.2,-0.05713189,-0.003404743,1.443867829
4.3,-0.011526609,0.080577073,1.493100621
4.4,-0.059637675,0.036559504,1.4855709
4.5,-0.041596025,0.011363592,1.483802787
4.6,-0.102737171,-0.036217845,1.46676184
