time,Druck1,Druckdifferenz,V
0,0,0,1.505081109
0.1,-0.012528923,0.002310003,1.504075114
0.2,-0.008519668,0.006575102,1.515232514
0.3,-0.028565945,-0.014238706,1.485814778
0.4,-0.017540493,-0.019075554,1.493893223
0.5,-0.021048591,-0.011326536,1.491515417
0.6,-0.038087927,-0.02683081,1.512671799
0.7,-0.009020825,-0.000322144,1.493527407
0.8,1.399731313,2.215616429,1.522213511
0.9,19.9114661,26.89906543,3.236886488
1,20.76192941,26.71592076,4.748439903
1.1,19.13266822,23.98678811,4.939457039
1.2,11.75814396,15.45406004,5.374809054
1.3,8.244031544,11.51294472,5.554424913
1.4,9.876800831,13.54610918,5.522385492
1.5,11.57121242,15.38072304,5.385143368
1.6,11.84183716,15.59762064,5.379930484
1.7,11.3236409,14.98373888,5.467482545
1.8,11.352708,15.12947065,5.455075272
1.9,11.61130498,15.69021887,5.470896832
2,11.7832018,15.74135754,5.490224132
2.1,11.71654793,15.55599225,5.461019789
2.2,11.67645538,15.53994899,5.480956783
2.3,11.62182927,15.48634626,5.496778343
2.4,11.54414995,15.49207194,5.488577958
2.5,11.69349471,15.66751275,5.490681403
2.6,11.63285472,15.57591569,5.491260612
2.7,11.5912587,15.54097159,5.461446575
2.8,11.69299356,15.67571027,5.479950788
2.9,11.9205188,16.01555084,5.524397482
3,12.07036473,16.07968917,5.581312419
3.1,12.12098158,16.15947219,5.556071087
3.2,12.1555614,16.17358453,5.532933198
3.3,11.96111251,15.829723,5.54046292
3.4,11.90849104,15.90707005,5.510161127
3.5,11.95058822,15.93944518,5.574392392
3.6,11.94407318,15.99356506,5.529640851
3.7,11.90448178,15.93427371,5.51497771
3.8,11.97414259,15.99984103,5.544303992
3.9,12.34900798,16.43201537,5.576922622
4,12.26331014,16.29284623,5.553967642
4.1,12.29037262,16.20426742,5.613107962
4.2,12.18162156,16.21985633,5.605486787
4.3,12.18713429,16.26221053,5.618107453
4.4,12.37306351,16.45786181,5.624417786
4.5,12.25128238,16.30665866,5.624234878
4.6,12.17109727,16.25180207,5.605730664
4.7,12.31693394,16.39277771,5.636459243
4.8,12.31242352,16.38673223,5.586281425
4.9,12.56450546,16.75803727,5.634325314
5,12.60159107,16.77363202,5.664931954
5.1,12.4662787,16.64804171,5.657920473
5.2,12.4337035,16.61162885,5.659780039
5.3,12.47279374,16.71084233,5.658408228
5.4,12.59106678,16.72780132,5.661456698
5.5,12.49334118,16.65105489,5.669718052
5.6,12.45124399,16.58388504,5.68215581
5.7,12.55999505,16.62253495,5.705872907
5.8,12.50035737,16.70002943,5.695599563
5.9,12.75043468,17.00229882,5.720627503
6,12.77148327,17.01771886,5.737455058
6.1,12.76146014,17.06628389,5.71885939
6.2,12.61011074,16.85890476,5.70355607
6.3,12.82761285,17.06438222,5.706177754
6.4,12.77900063,17.06463612,5.738491537
6.5,12.73890807,16.91529836,5.731998296
6.6,12.77900063,16.90012871,5.709531071
6.7,12.83563136,17.01739437,5.69337418
6.8,12.85216954,17.10863887,5.665998918
6.9,13.14735097,17.55732644,5.795772291
7,13.1493556,17.46645985,5.754496005
7.1,13.05313347,17.31190539,5.716146252
7.2,13.03208488,17.33614111,5.747179677
7.3,12.98748191,17.27925765,5.768092182
7.4,13.05463694,17.44900595,5.776597414
7.5,13.15035792,17.45287908,5.758184654
7.6,13.26963327,17.62690495,5.779432491
7.7,13.18644122,17.56494792,5.755867817
7.8,13.2796564,17.70191236,5.697154283
7.9,13.24357311,17.6819472,5.78766336
8,13.23906269,17.70992892,5.849760696
8.1,13.23856154,17.68896028,5.822507373
8.2,13.47109835,17.94477886,5.795010173
8.3,13.52722793,17.93950598,5.835463371
8.4,13.43852315,17.75434818,5.836377912
8.5,13.32676516,17.66689532,5.819794235
8.6,13.42499192,17.77817011,5.832445386
8.7,13.37287159,17.84092354,5.811319488
8.8,13.46658794,17.96764371,5.840523832
8.9,13.71365831,18.34263586,5.864515291
9,13.71866988,18.22893601,5.860857127
9.1,13.76978788,18.29617217,5.859637739
9.2,13.7091479,18.23783477,5.89829234
9.3,13.64900906,18.14162199,5.859546285
9.4,13.69060509,18.29706841,5.881037999
9.5,13.76277169,18.32599744,5.859668224
9.6,13.69661897,18.28952258,5.856894116
9.7,13.66705071,18.24434786,5.821440409
9.8,13.92013496,18.48719837,5.842048067
9.9,14.10606419,18.74092614,5.901706627
10,14.12210121,18.74493851,5.863448327
10.1,14.03740569,18.58860679,5.931032909
10.2,13.86801464,18.45452216,5.944751024
10.3,13.90209332,18.42182566,5.902956499
10.4,13.92464538,18.52855026,5.937952936
10.5,13.83343482,18.54735243,5.875093483
10.6,13.75625665,18.4369146,5.882592719
10.7,13.82240936,18.46392325,5.956822966
10.8,14.09303411,18.73710643,5.926582143
10.9,14.23786846,19.08431304,5.964444141
11,14.21732103,18.95938143,5.95691442
11.1,14.26593325,19.01925077,5.956335211
11.2,14.19827706,18.93931409,5.980143762
11.3,14.21281061,18.979432,5.979625522
11.4,14.20028169,19.02472372,5.99666647
11.5,14.00783743,18.75194458,5.952097837
11.6,14.04642651,18.9222931,5.95185396
11.7,14.25440664,19.12080701,5.944781509
11.8,14.34862414,19.1661584,5.976485598
11.9,14.63127665,19.50023546,6.006665452
12,14.60020492,19.49039875,6.041631404
12.1,14.60822343,19.44827192,6.032546963
12.2,14.61624194,19.5112968,6.018859332
12.3,14.59769914,19.41037236,6.036601428
12.4,14.53304989,19.34239715,6.032607933
12.5,14.60170839,19.41668421,6.001300145
12.6,14.45486941,19.32971262,6.005141217
12.7,14.46138445,19.39763012,6.018310608
12.8,14.70645019,19.62555434,6.00892132
12.9,14.89438404,19.95573721,6.036144158
13,14.93948817,19.96502323,6.064403476
13.1,14.80016654,19.83260938,6.096320958
13.2,14.76959597,19.75701034,6.084736771
13.3,14.90440718,19.88670469,6.126561781
13.4,14.79866307,19.7423282,6.0482161
13.5,14.96254138,19.92692984,6.107935629
13.6,14.96103791,19.89779527,6.044679874
13.7,14.85729843,19.85494655,6.091351951
13.8,15.10386764,20.09818979,6.061995184
13.9,15.18705969,20.26146088,6.143816122
14,15.31585702,20.33525185,6.11345336
14.1,15.22113836,20.30193564,6.126500812
14.2,15.25271125,20.22247242,6.104399404
14.3,15.1950782,20.27101445,6.078578862
14.4,14.96604948,20.07550124,6.136896095
14.5,14.97657378,20.1052138,6.113697237
14.6,15.11739888,20.28057778,6.092540855
14.7,15.30583388,20.29427164,6.098332948
14.8,15.1660111,20.19256954,6.15015694
14.9,15.5453869,20.73977872,6.203444197
15,15.50379087,20.67106327,6.193902486
15.1,15.61655118,20.78228852,6.196585139
15.2,15.31736049,20.43346418,6.201798023
15.3,15.46520179,20.56979252,6.179879523
15.4,15.43813931,20.58775851,6.186921489
15.5,15.50880244,20.72212668,6.173508221
15.6,15.48875616,20.65040001,6.168722123
15.7,15.71928835,20.83769463,6.17052072
15.8,15.66616572,20.85902248,6.141621223
15.9,15.68420737,20.9497237,6.194695088
16,15.93679046,21.25705731,6.213991904
16.1,15.82503247,21.0664995,6.194024424
16.2,15.89068402,21.16361982,6.21533323
16.3,15.68571084,20.9637635,6.25721921
16.4,15.61103846,20.79519653,6.261151736
16.5,15.70174786,20.98824336,6.251488086
16.6,15.85009031,21.05471587,6.206767029
16.7,15.85059147,21.31694499,6.228990377
16.8,16.12171737,21.58500077,6.208047387
16.9,16.27056098,21.80573642,6.279259648
17,16.24550313,21.66068794,6.268772911
17.1,16.17183306,21.57576076,6.283771384
17.2,16.18035273,21.58504796,6.283039751
17.3,15.97036798,21.32082437,6.3168168
17.4,15.96685988,21.427329,6.280326613
17.5,16.00093855,21.43607916,6.263986813
17.6,16.02549524,21.3552283,6.276881842
17.7,16.15178679,21.59639361,6.276150209
17.8,16.12271968,21.57269922,6.291758376
17.9,16.48655962,21.96749622,6.320810296
18,16.50259664,22.05798372,6.265876865
18.1,16.52564986,22.04752143,6.343551883
18.2,16.77622832,22.31498558,6.334040656
18.3,16.45899599,21.92534951,6.322151623
18.4,16.45197979,21.9288229,6.334375988
18.5,16.39284327,21.84435787,6.348429435
18.6,16.49708391,21.94220242,6.330169099
18.7,16.53817878,22.01706864,6.343003158
18.8,16.59230373,22.20320887,6.322425985
18.9,16.89149442,22.49318919,6.402600749
19,16.74365312,22.29315581,6.416105471
19.1,16.77973642,22.39550259,6.386626765
19.2,16.72611263,22.31092172,6.393302915
19.3,16.86443194,22.4942695,6.415404323
19.4,17.04785538,22.70813833,6.378822682
19.5,16.88798632,22.52294075,6.399674217
19.6,16.72160222,22.40670199,6.388425363
19.7,16.80429311,22.44538779,6.337211065
19.8,16.79026072,22.42956449,6.382450361
19.9,17.03582762,22.80714666,6.419062487
20,17.22877303,22.93024679,6.357666299
20.1,17.1686342,22.87215471,6.400893605
20.2,17.08794794,22.69322451,6.426805601
20.3,17.17264346,22.83394978,6.415312869
20.4,17.13305206,22.90718539,6.435127925
20.5,17.15660644,22.85654513,6.44073711
20.6,17.07291323,22.8314401,6.463204334
20.7,17.23779386,23.07179458,6.46213737
20.8,17.38663747,23.12239426,6.438816574
20.9,17.5189429,23.24113998,6.504450135
21,17.68582816,23.54183142,6.4810074
21.1,17.56154124,23.3740511,6.477196812
21.2,17.5515181,23.45024724,6.476221302
21.3,17.25383088,23.01210191,6.485763013
21.4,17.29542691,22.99715651,6.474940944
21.5,17.46982952,23.29078222,6.457137879
21.6,17.54650653,23.41939547,6.422415804
21.7,17.43424738,23.2899948,6.474483674
21.8,17.5585343,23.41991028,6.49112832
21.9,18.07873519,24.07877839,6.52121672
22,17.85321457,23.80695008,6.539294148
22.1,17.84569722,23.81350412,6.545543512
22.2,17.62869627,23.5555682,6.560145684
22.3,17.74396236,23.60150069,6.511248223
22.4,17.65676106,23.55932785,6.534142234
22.5,17.85622151,23.80765443,6.57224811
22.6,17.79959078,23.7369523,6.530636493
22.7,17.77753988,23.71694814,6.503779471
22.8,17.96898182,23.96390815,6.473203316
22.9,18.16693881,24.24143248,6.570083696
23,18.21855798,24.29970358,6.630138557
23.1,18.25514243,24.23395061,6.559962775
23.2,18.17746311,24.19388029,6.58755143
23.3,18.21204294,24.29984047,6.550421064
23.4,18.16994575,24.2531381,6.552250146
23.5,17.98401653,24.11274904,6.595599391
23.6,18.21956029,24.43527961,6.523716466
23.7,18.15140295,24.36942485,6.570419028
23.8,18.23659963,24.59994068,6.637607309
23.9,18.39145712,24.69058143,6.624041617
24,18.50471859,24.7403937,6.618706794
24.1,18.55734006,24.7144712,6.705008983
24.2,18.44357744,24.59815014,6.643368917
24.3,18.39496522,24.53341978,6.673884103
24.4,18.58640717,24.73483962,6.638064579
24.5,18.47966074,24.68821643,6.644832183
24.6,18.24762508,24.37993939,6.659861141
24.7,18.39195828,24.58183739,6.661842646
24.8,18.69465706,24.86406869,6.695680664
24.9,18.93922165,25.26393032,6.636997615
25,19.00788015,25.30828368,6.692845587
25.1,19.0118894,25.28849948,6.717843042
25.2,18.8384891,25.11330828,6.656020068
25.3,18.90313835,25.39133105,6.719824547
25.4,18.88058629,25.31019082,6.698393803
25.5,18.8560296,25.34780411,6.746071875
25.6,18.95225173,25.36829655,6.715861536
25.7,18.65155757,25.1011179,6.673792649
25.8,18.72723226,25.21644834,6.69156523
25.9,19.25996208,25.66781991,6.709490234
26,19.0514808,25.3651882,6.765033359
26.1,19.16925268,25.61855716,6.676841119
26.2,18.89060942,25.35065934,6.711624163
26.3,19.14369367,25.72271085,6.769667034
26.4,19.08906757,25.56395641,6.745736543
26.5,19.15471913,25.65161052,6.752869963
26.6,19.18077929,25.58761374,6.726317789
26.7,18.90764876,25.34595197,6.778995352
26.8,19.10610691,25.59020611,6.722994956
26.9,19.17225962,25.73567033,6.766649048
27,19.48397923,26.12977157,6.793323162
27.1,19.81975438,26.3291821,6.822222658
27.2,19.57719442,26.16260768,6.76445415
27.3,19.36119578,25.92716493,6.78884191
27.4,19.46593758,26.07079495,6.822314112
27.5,19.65437259,26.2200859,6.8153636
27.6,19.73606117,26.31968352,6.804358623
27.7,19.79770347,26.37518558,6.807955818
27.8,19.99415699,26.61078316,6.795761938
27.9,20.25977016,26.95570784,6.823167684
28,20.18559894,26.83957827,6.847799322
28.1,20.05630045,26.72230443,6.844964245
28.2,19.95707138,26.75636985,6.893099588
28.3,19.81574512,26.47714392,6.859474963
28.4,20.02422641,26.86190142,6.840726872
28.5,20.03675533,26.77209292,6.873162593
28.6,20.31589974,26.95913365,6.864504938
28.7,20.12746473,26.7264377,6.85977981
28.8,20.04026343,26.65484285,6.891575353
28.9,20.22519034,26.94671237,6.872156598
29,20.18660125,26.88688827,6.940899599
29.1,20.33344023,27.05931161,6.92962026
29.2,20.22519034,27.01348754,6.917456864
29.3,20.18710241,26.97719052,6.914438879
29.4,20.29886041,27.0753888,6.913402399
29.5,20.27480487,27.02728398,6.941844625
29.6,20.04778078,26.79770145,6.909469872
29.7,20.37303163,27.34246608,6.846762842
29.8,20.50132781,27.40987148,6.861883254
29.9,20.70379521,27.70597763,6.930626255
30,20.5514435,27.37632633,6.939375364
30.1,20.53290069,27.4662612,6.929345897
30.2,20.5258845,27.49480725,6.981688129
